기간,대분류,분류,대중교통 이용만족도,버스,지하철,택시
2008,소득별,100-200만 미만,5.85,6.08,6.26,5.13
2008,소득별,200-300만 미만,5.78,5.99,6.23,5.1
2008,소득별,300-400만 미만,5.87,6.04,6.35,5.2
2008,소득별,400-500만 미만,5.83,5.97,6.35,5.15
2008,소득별,500만 이상,5.8,5.94,6.27,5.15
2008,혼인상태별,기혼,5.83,6,6.31,5.15
2008,혼인상태별,미혼,5.83,6,6.3,5.15
2008,혼인상태별,이혼/별거,5.76,6,6.26,4.93
2008,혼인상태별,사별,5.87,6.06,6.18,5.22
2008,지역대분류,도심권,5.66,5.7,6.07,5.2
2008,지역대분류,동북권,5.76,5.94,6.27,5.01
2008,지역대분류,서북권,5.88,6.22,6.65,4.68
2008,지역대분류,서남권,5.83,5.97,6.16,5.33
2008,지역대분류,동남권,5.95,6.13,6.4,5.33
2008,종로구,종로구,5.63,5.59,6.39,4.89
2008,중구,중구,5.26,5.31,5.79,4.64
2008,용산구,용산구,5.9,5.98,6,5.72
2008,성동구,성동구,4.98,5.06,5.65,4.21
2008,광진구,광진구,5.69,5.79,6.38,4.75
2008,동대문구,동대문구,5.35,5.61,5.75,4.6
2008,중랑구,중랑구,5.71,5.87,6.19,4.93
2008,성북구,성북구,6.31,6.45,6.75,5.65
2008,강북구,강북구,6.33,6.66,6.88,5.45
2008,도봉구,도봉구,5.58,5.85,6.03,4.83
2008,노원구,노원구,5.89,5.98,6.32,5.29
2008,은평구,은평구,6,6.5,6.71,4.69
2008,서대문구,서대문구,6.19,6.41,7.04,4.94
2008,마포구,마포구,5.47,5.73,6.23,4.46
2008,양천구,양천구,5.75,5.65,5.77,5.88
2008,강서구,강서구,5.63,5.6,5.87,5.38
2008,구로구,구로구,5.98,6.18,6.44,5.33
2008,금천구,금천구,5.72,6.08,6.15,4.83
2008,영등포구,영등포구,5.93,5.98,6.42,5.33
2008,동작구,동작구,6.17,6.61,6.67,5.19
2008,관악구,관악구,5.7,5.94,6.04,5.08
2008,서초구,서초구,5.84,5.88,6.4,5.23
2008,강남구,강남구,5.93,6.21,6.38,5.17
2008,송파구,송파구,6.18,6.42,6.61,5.53
2008,강동구,강동구,5.77,5.85,6.16,5.32
2009,서울시,서울시,6,6.19,6.52,5.27
2009,성별,남자,6,6.18,6.53,5.26
2009,성별,여자,6.01,6.19,6.52,5.27
2009,연령별,10대,5.95,6.12,6.36,5.34
2009,연령별,20대,5.95,6.14,6.48,5.23
2009,연령별,30대,5.96,6.14,6.57,5.18
2009,연령별,40대,6.04,6.25,6.55,5.31
2009,연령별,50대,6.07,6.28,6.6,5.3
2009,연령별,60대 이상,6.04,6.18,6.48,5.32
2009,학력별,중졸 이하,6.01,6.19,6.39,5.33
2009,학력별,고졸 이하,6.04,6.24,6.58,5.29
2009,학력별,전문대 이하,5.93,6.12,6.46,5.19
2009,학력별,4년제 이하,6.03,6.21,6.59,5.29
2009,학력별,대학원 이상,5.55,5.64,6.29,4.72
2009,소득별,100 만원 미만,6.14,6.18,6.57,5.38
2009,소득별,100-200만 미만,5.92,6.04,6.45,5.18
2009,소득별,200-300만 미만,6.01,6.19,6.57,5.23
2009,소득별,300-400만 미만,6.1,6.28,6.6,5.41
2009,소득별,400-500만 미만,5.97,6.21,6.46,5.24
2009,소득별,500만 이상,5.93,6.16,6.45,5.19
2009,혼인상태별,기혼,6.04,6.23,6.58,5.3
2009,혼인상태별,미혼,5.94,6.12,6.45,5.23
2009,혼인상태별,이혼/별거,6.01,6.15,6.54,5.24
2009,혼인상태별,사별,5.92,6.12,6.32,5.19
2009,지역대분류,도심권,5.97,6.13,6.53,5.22
2009,지역대분류,동북권,5.86,6.07,6.38,5.09
2009,지역대분류,서북권,6.13,6.4,6.79,5.13
2009,지역대분류,서남권,6.04,6.16,6.54,5.38
2009,지역대분류,동남권,6.11,6.3,6.56,5.47
2009,종로구,종로구,6.09,6.14,6.59,5.55
2009,중구,중구,5.73,6.26,6.04,4.89
2009,용산구,용산구,6.01,6.07,6.76,5.16
2009,성동구,성동구,5.94,6.12,6.69,5
2009,광진구,광진구,6.16,6.39,6.77,5.19
2009,동대문구,동대문구,5.31,5.4,5.82,4.76
2009,중랑구,중랑구,6.01,6.24,6.23,5.54
2009,성북구,성북구,6.35,6.49,6.65,5.91
2009,강북구,강북구,6.15,6.42,6.55,5.31
2009,도봉구,도봉구,5.68,6.07,6.52,4.49
2009,노원구,노원구,5.44,5.57,6.02,4.52
2009,은평구,은평구,6.57,6.85,7.3,5.49
2009,서대문구,서대문구,5.68,6.12,6.3,4.59
2009,마포구,마포구,5.99,6.1,6.59,5.18
2009,양천구,양천구,6.23,6.39,6.63,5.69
2009,강서구,강서구,5.82,5.71,6.48,5.26
2009,구로구,구로구,6.11,6.26,6.61,5.5
2009,금천구,금천구,6.08,6.3,6.47,5.44
2009,영등포구,영등포구,6.29,6.38,6.75,5.65
2009,동작구,동작구,5.95,6.26,6.4,5.16
2009,관악구,관악구,5.88,6.07,6.48,5.04
2009,서초구,서초구,6.18,6.43,6.46,5.65
2009,강남구,강남구,6,6.22,6.52,5.23
2009,송파구,송파구,5.9,6.26,6.25,5.2
2009,강동구,강동구,6.47,6.35,7.12,5.96
2010,서울시,서울시,6.19,6.16,6.71,5.67
2010,성별,남자,6.22,6.19,6.76,5.68
2010,성별,여자,6.16,6.14,6.66,5.66
2010,연령별,10대,6.17,6.17,6.67,5.67
2010,연령별,20대,6.16,6.11,6.67,5.67
2010,연령별,30대,6.17,6.09,6.71,5.67
2010,연령별,40대,6.15,6.13,6.71,5.61
2010,연령별,50대,6.26,6.23,6.77,5.76
2010,연령별,60대 이상,6.24,6.26,6.71,5.66
2010,학력별,중졸 이하,6.19,6.19,6.66,5.64
2010,학력별,고졸 이하,6.17,6.12,6.68,5.67
2010,학력별,전문대 이하,6.13,6.08,6.68,5.62
2010,학력별,4년제 이하,6.29,6.27,6.8,5.75
2010,학력별,대학원 이상,6.07,6.05,6.69,5.37
2010,소득별,100 만원 미만,6.36,6.29,6.71,5.89
2010,소득별,100-200만 미만,6.16,6.23,6.65,5.52
2010,소득별,200-300만 미만,6.19,6.22,6.7,5.62
2010,소득별,300-400만 미만,6.19,6.1,6.71,5.75
2010,소득별,400-500만 미만,6.26,6.25,6.78,5.75
2010,소득별,500만 이상,6.14,6.09,6.71,5.61
2010,혼인상태별,기혼,6.21,6.19,6.75,5.67
2010,혼인상태별,미혼,6.16,6.13,6.69,5.65
2010,혼인상태별,이혼/별거,6.11,6.13,6.55,5.6
2010,혼인상태별,사별,6.15,6.03,6.51,5.8
2010,지역대분류,도심권,6.06,5.94,6.65,5.6
2010,지역대분류,동북권,6.03,5.96,6.48,5.58
2010,지역대분류,서북권,6.12,6.27,6.8,5.28
2010,지역대분류,서남권,6.35,6.28,6.83,5.88
2010,지역대분류,동남권,6.3,6.3,6.87,5.75
2010,종로구,종로구,5.77,5.55,6.35,5.41
2010,중구,중구,6.34,6.01,7.03,5.97
2010,용산구,용산구,6.15,6.18,6.68,5.57
2010,성동구,성동구,6.06,5.75,6.47,5.89
2010,광진구,광진구,5.77,5.66,6.48,5.12
2010,동대문구,동대문구,6.01,6.04,6.45,5.55
2010,중랑구,중랑구,5.98,5.59,6.13,6.25
2010,성북구,성북구,6.22,6.15,6.68,5.67
2010,강북구,강북구,6.27,6.52,6.82,5.39
2010,도봉구,도봉구,5.83,5.94,6.12,5.43
2010,노원구,노원구,6.06,6.05,6.64,5.33
2010,은평구,은평구,6.36,6.55,7.14,5.38
2010,서대문구,서대문구,6.06,6.2,6.72,5.2
2010,마포구,마포구,5.88,5.98,6.43,5.22
2010,양천구,양천구,6.11,5.88,6.39,6.07
2010,강서구,강서구,6.19,6.25,7.03,5.07
2010,구로구,구로구,6.59,6.4,7.18,6.18
2010,금천구,금천구,6.46,6.66,6.77,5.88
2010,영등포구,영등포구,6.53,6.35,7.21,6.04
2010,동작구,동작구,6.54,6.53,6.81,6.27
2010,관악구,관악구,6.19,6.17,6.54,5.8
2010,서초구,서초구,6.47,6.68,7.06,5.64
2010,강남구,강남구,6.29,6.2,6.63,6.04
2010,송파구,송파구,6.15,6.29,6.93,5.26
2010,강동구,강동구,6.4,6.09,6.89,6.21
