기간,대분류,분류,대중교통 이용만족도,버스,지하철,택시
2012,금천구,금천구,6.64,7.07,7.18,5.63
2012,영등포구,영등포구,6.55,6.95,7.14,5.49
2012,동작구,동작구,6.78,7.12,7.36,5.79
2012,관악구,관악구,6.42,6.63,6.84,5.79
2012,서초구,서초구,6.21,6.58,6.63,5.4
2012,강남구,강남구,6.41,6.51,6.38,6.33
2012,송파구,송파구,6.68,6.96,7.24,5.83
2012,강동구,강동구,6.03,6.42,6.71,4.94
2013,서울시,서울시,6.4,6.67,7.03,5.5
2013,성별,남자,6.4,6.63,7.03,5.53
2013,성별,여자,6.41,6.72,7.02,5.48
2013,연령별,10대,6.33,6.64,6.98,5.37
2013,연령별,20대,6.4,6.77,7.13,5.29
2013,연령별,30대,6.37,6.59,7,5.54
2013,연령별,40대,6.36,6.65,7.03,5.4
2013,연령별,50대,6.46,6.74,7.09,5.55
2013,연령별,60대 이상,6.44,6.66,6.94,5.71
2013,학력별,중졸 이하,6.42,6.68,6.86,5.71
2013,학력별,고졸 이하,6.46,6.76,7.11,5.52
2013,학력별,대졸 이하,6.35,6.61,7.03,5.42
2013,학력별,대학원 이상,6.2,6.29,6.82,5.5
2013,소득별,100 만원 미만,6.37,6.72,7.01,5.36
2013,소득별,100-200만 미만,6.53,6.88,7.02,5.68
2013,소득별,200-300만 미만,6.46,6.76,7,5.62
2013,소득별,300-400만 미만,6.42,6.61,7.05,5.6
2013,소득별,400-500만 미만,6.4,6.65,7.05,5.49
2013,소득별,500만 이상,6.32,6.63,7.01,5.32
2013,혼인상태별,기혼,6.39,6.64,7.03,5.49
2013,혼인상태별,미혼,6.43,6.73,7.09,5.45
2013,혼인상태별,이혼/별거,6.56,6.91,7.06,5.69
2013,혼인상태별,사별,6.36,6.58,6.75,5.73
2013,지역대분류,도심권,5.86,6.05,6.3,5.23
2013,지역대분류,동북권,6.5,6.78,7.08,5.65
2013,지역대분류,서북권,6.49,6.63,7.23,5.62
2013,지역대분류,서남권,6.4,6.75,7.1,5.34
2013,지역대분류,동남권,6.32,6.57,6.9,5.5
2013,종로구,종로구,5.32,5.48,5.67,4.81
2013,중구,중구,6.66,6.99,7.31,5.68
2013,용산구,용산구,5.8,5.93,6.19,5.27
2013,성동구,성동구,6.22,6.71,6.62,5.3
2013,광진구,광진구,6.42,6.76,6.99,5.52
2013,동대문구,동대문구,6.53,6.77,7.59,5.22
2013,중랑구,중랑구,5.69,5.97,5.92,5.19
2013,성북구,성북구,6.95,7.48,7.57,5.79
2013,강북구,강북구,6.79,7.41,7.26,5.67
2013,도봉구,도봉구,6.38,6.63,7.04,5.48
2013,노원구,노원구,6.83,6.6,7.42,6.48
2013,은평구,은평구,6.87,7.2,7.62,5.8
2013,서대문구,서대문구,6.14,6.05,6.69,5.7
2013,마포구,마포구,6.27,6.36,7.15,5.31
2013,양천구,양천구,6.24,6.54,6.7,5.49
2013,강서구,강서구,6.36,6.7,6.86,5.54
2013,구로구,구로구,6.38,6.75,7.45,4.9
2013,금천구,금천구,6,6.44,6.75,4.83
2013,영등포구,영등포구,6.17,6.54,7.03,4.95
2013,동작구,동작구,6.49,6.89,7.26,5.32
2013,관악구,관악구,6.88,7.2,7.57,5.87
2013,서초구,서초구,6.31,6.54,6.78,5.59
2013,강남구,강남구,6.29,6.6,6.88,5.39
2013,송파구,송파구,6.43,6.67,7.05,5.6
2013,강동구,강동구,6.22,6.42,6.82,5.42
2014,서울시,서울시,6.47,6.78,6.95,5.7
2014,성별,남자,6.46,6.74,6.96,5.7
2014,성별,여자,6.48,6.81,6.93,5.7
2014,연령별,10대,6.4,6.79,6.9,5.54
2014,연령별,20대,6.45,6.74,6.96,5.66
2014,연령별,30대,6.46,6.75,6.93,5.68
2014,연령별,40대,6.4,6.71,6.87,5.63
2014,연령별,50대,6.52,6.81,7.01,5.74
2014,연령별,60대 이상,6.54,6.85,6.98,5.82
2014,학력별,중졸 이하,6.5,6.88,6.92,5.78
2014,학력별,고졸 이하,6.49,6.83,6.94,5.69
2014,학력별,대졸 이하,6.45,6.71,6.95,5.68
2014,학력별,대학원 이상,6.51,6.92,7.04,5.58
2014,소득별,100 만원 미만,6.52,6.97,6.98,5.71
2014,소득별,100-200만 미만,6.48,6.78,7.01,5.67
2014,소득별,200-300만 미만,6.49,6.86,7.04,5.57
2014,소득별,300-400만 미만,6.45,6.69,6.88,5.76
2014,소득별,400-500만 미만,6.51,6.75,6.92,5.87
2014,소득별,500만 이상,6.44,6.81,6.95,5.58
2014,혼인상태별,기혼,6.48,6.77,6.94,5.72
2014,혼인상태별,미혼,6.47,6.78,6.99,5.64
2014,혼인상태별,이혼/별거,6.5,6.87,7.04,5.61
2014,혼인상태별,사별,6.41,6.78,6.81,5.7
2014,지역대분류,도심권,6.55,6.92,7.13,5.61
2014,지역대분류,동북권,6.48,6.82,6.99,5.65
2014,지역대분류,서북권,6.21,6.41,6.58,5.61
2014,지역대분류,서남권,6.4,6.68,6.88,5.65
2014,지역대분류,동남권,6.69,7.04,7.15,5.91
2014,종로구,종로구,6.68,6.98,7.46,5.61
2014,중구,중구,6.63,7.12,6.84,5.92
2014,용산구,용산구,6.42,6.78,7.07,5.45
2014,성동구,성동구,6.22,6.63,6.63,5.39
2014,광진구,광진구,6.51,6.8,7.24,5.52
2014,동대문구,동대문구,6.45,6.88,7.19,5.31
